,2024,,,,,,2025,,,,,,전년대비증감율(%),,,,,
,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,
국가명,계,적,공,계,적,공,계,적,공,계,적,공,증감_계,증감_적,증감_공,증감_계,증감_적,증감_공
마요트,,,,10,10,0,,,,46,46,0,,,,360.00,360.00,
마카오,1,1,0,6,6,0,,,,11,11,0,-100,-100,,83.33,83.33,
말레이시아,"24,326","23,174","1,152","325,491","292,958","32,533","38,991","36,931","2,060","444,482","421,790","22,692",60.29,59.37,78.82,36.56,43.98,-30.25
멕시코,"77,387","60,848","16,539","939,999","748,366","191,633","71,753","61,978","9,775","840,779","714,193","126,586",-7.28,1.86,-40.90,-10.56,-4.57,-33.94
모로코,"3,894","3,372",522,"37,402","34,092","3,310","1,421","1,419",2,"18,279","15,200","3,079",-63.51,-57.92,-99.62,-51.13,-55.42,-6.98
모리셔스,103,75,28,"1,903",978,925,128,128,0,"1,068","1,051",17,24.27,70.67,-100,-43.89,7.44,-98.16
모리타니,157,157,0,"1,857","1,857",0,115,115,0,"1,188","1,188",0,-26.75,-26.75,,-36.03,-36.03,
모잠비크,401,401,0,"5,275","5,275",0,520,520,0,"7,122","7,022",100,29.68,29.68,,35.01,33.12,0
몬세라트,,,,2,2,0,,,,3,3,0,,,,50.00,50.00,
몬테네그로,145,145,0,"1,485","1,485",0,117,117,0,"1,542","1,542",0,-19.31,-19.31,,3.84,3.84,
몰디브,13,13,0,498,498,0,27,27,0,318,317,1,107.69,107.69,,-36.14,-36.35,0
몰타,207,195,12,"2,871","1,274","1,597","1,161","1,161",0,"19,098","15,781","3,317",460.87,495.38,-100,565.20,"1,138.70",107.70
미국,"339,392","291,301","48,091","4,054,790","3,457,520","597,270","296,941","253,980","42,962","4,046,998","3,356,151","690,847",-12.51,-12.81,-10.67,-0.19,-2.93,15.67
미국령 버진아일랜드,1,1,0,38,38,0,,,,48,48,0,-100,-100,,26.32,26.32,
미얀마,375,375,0,"6,901","6,891",10,600,600,0,"6,561","6,557",4,60.00,60.00,,-4.93,-4.85,-60.00
미크로네시아,169,156,13,"2,217","2,046",171,186,184,2,"2,505","2,401",104,10.06,17.95,-84.62,12.99,17.35,-39.18
바누아투,694,431,263,"7,965","5,816","2,149","1,012",622,390,"7,593","6,333","1,260",45.82,44.32,48.29,-4.67,8.89,-41.37
바레인,541,521,20,"4,891","4,859",32,636,416,220,"10,179","6,094","4,085",17.56,-20.15,"1,000.00",108.12,25.42,"12,665.63"
바베이도스,77,77,0,"1,049","1,049",0,134,134,0,"1,357","1,357",0,74.03,74.03,,29.39,29.39,
바하마,"17,933",204,"17,729","156,862","2,689","154,173","26,600",174,"26,426","229,063","2,097","226,966",48.33,-14.60,49.05,46.03,-22.00,47.22
방글라데시,"1,612","1,610",2,"18,318","18,227",91,"1,448","1,448",0,"18,206","18,066",140,-10.17,-10.06,-100,-0.61,-0.88,53.85
베냉,95,95,0,"1,311","1,311",0,11,11,0,965,763,202,-88.42,-88.42,,-26.39,-41.80,0
베네수엘라,"2,287","2,287",0,"24,413","24,411",2,"3,574","3,574",0,"37,342","37,342",0,56.27,56.27,,52.96,52.97,-100
베트남,"68,136","64,259","3,877","795,387","748,434","46,954","73,426","66,935","6,492","809,966","742,982","66,984",7.76,4.16,67.44,1.83,-0.73,42.66
벨기에,"6,904","6,640",264,"81,968","78,301","3,667","6,733","5,544","1,189","79,487","74,892","4,595",-2.47,-16.50,350.38,-3.03,-4.35,25.31
벨리즈,4,4,0,416,416,0,12,12,0,386,386,0,200.00,200.00,,-7.21,-7.21,
볼리비아,,,,,,,,,,8,8,0,,,,0,0,
북마리아나 제도,480,57,423,"4,930","1,243","3,687",269,213,56,"3,029","1,839","1,190",-43.85,274.12,-86.75,-38.55,47.98,-67.72
북마케도니아,,,,2,2,0,,,,,,,,,,-100,-100,
불가리아,497,497,0,"5,294","5,294",0,200,200,0,"2,482","2,480",2,-59.76,-59.76,,-53.12,-53.16,0
브라질,"19,037","16,697","2,340","196,817","184,584","12,233","31,959","28,649","3,310","263,921","240,906","23,015",67.88,71.58,41.45,34.09,30.51,88.14
브루나이,8,8,0,102,98,4,17,17,0,106,103,3,112.50,112.50,,3.92,5.10,-25.00
사모아,514,242,272,"6,863","3,839","3,024",568,434,134,"6,999","4,588","2,411",10.51,79.34,-50.74,1.98,19.51,-20.27
사우디아라비아,"9,348","5,789","3,559","93,668","74,450","19,218","5,451","4,105","1,346","100,927","70,433","30,495",-41.69,-29.09,-62.18,7.75,-5.40,58.68
상투메 프린시페,26,26,0,63,63,0,1,1,0,38,38,0,-96.15,-96.15,,-39.68,-39.68,
세네갈,331,331,0,"4,245","4,245",0,143,143,0,"2,357","2,290",67,-56.80,-56.80,,-44.49,-46.07,0
세이셸,27,27,0,258,258,0,5,5,0,124,124,0,-81.48,-81.48,,-51.94,-51.94,
세인트 빈센트 그레나딘,3,3,0,107,107,0,5,5,0,105,105,0,66.67,66.67,,-1.87,-1.87,
세인트루시아,27,27,0,388,388,0,17,17,0,312,312,0,-37.04,-37.04,,-19.59,-19.59,
세인트키츠 네비스,10,10,0,94,94,0,11,11,0,96,96,0,10.00,10.00,,2.13,2.13,
소말리아,43,43,0,247,191,56,11,11,0,332,277,55,-74.42,-74.42,,34.41,45.03,-1.79
솔로몬제도,58,58,0,978,966,12,212,105,107,"2,811","1,191","1,620",265.52,81.03,0,187.42,23.29,"13,400.00"
수단,15,15,0,312,312,0,21,21,0,302,302,0,40.00,40.00,,-3.21,-3.21,
수리남,336,336,0,"4,695","4,687",8,740,740,0,"7,000","7,000",0,120.24,120.24,,49.08,49.34,-100
스리랑카,"1,041","1,040",1,"15,938","14,428","1,510",655,655,0,"14,806","11,472","3,334",-37.08,-37.02,-100,-7.10,-20.49,120.88
스웨덴,"2,836","2,836",0,"37,899","37,899",0,"3,492","3,482",10,"40,257","40,244",13,23.13,22.78,0,6.22,6.19,0
스위스,,,,2,2,0,,,,,,,,,,-100,-100,
