연도,국가명,구분,계,적,공
2020,쿠바,입항,8.0,8.0,0.0
2020,쿠웨이트,입항,644.0,551.0,93.0
2020,크로아티아,입항,1468.0,1434.0,34.0
2020,키리바시,입항,839.0,3.0,836.0
2020,키프로스,입항,144.0,144.0,0.0
2020,탄자니아,입항,2612.0,2612.0,0.0
2020,태국,입항,78970.25,74155.0,4815.25
2020,토고,입항,1240.0,1240.0,0.0
2020,통가,입항,1454.0,79.0,1375.0
2020,튀니지,입항,671.0,667.0,4.0
2020,튀르키예,입항,27303.75,17719.75,9584.0
2020,트리니다드 토바고,입항,662.0,662.0,0.0
2020,파나마,입항,47218.75,1451.0,45767.75
2020,파라과이,입항,317.0,317.0,0.0
2020,파키스탄,입항,15437.5,6242.0,9195.5
2020,파푸아 뉴기니,입항,347.0,347.0,0.0
2020,팔라우,입항,56.0,42.0,14.0
2020,페로 제도,입항,2.0,2.0,0.0
2020,페루,입항,27227.0,20528.0,6699.0
2020,포르투갈,입항,3082.0,3080.0,2.0
2020,폴란드,입항,12822.0,12760.0,62.0
2020,푸에르토리코,입항,1914.0,1914.0,0.0
2020,프랑스,입항,29817.25,27319.25,2498.0
2020,프랑스령 기아나,입항,9.0,9.0,0.0
2020,프랑스령 폴리네시아,입항,3425.0,49.0,3376.0
2020,피지,입항,1433.0,277.0,1156.0
2020,핀란드,입항,12626.0,12422.0,204.0
2020,필리핀,입항,57216.75,22255.0,34961.75
2020,헝가리,입항,115.0,115.0,0.0
2020,호주,입항,146466.5,70397.0,76069.5
2020,홍콩,입항,40253.0,29214.0,11039.0
2020,가나,출항,3203.0,3200.0,3.0
2020,가봉,출항,16.0,16.0,0.0
2020,가이아나,출항,73.0,73.0,0.0
2020,감비아,출항,6.0,6.0,0.0
2020,과들루프,출항,21.0,21.0,0.0
2020,과테말라,출항,2702.0,2568.0,134.0
2020,괌,출항,2785.0,2728.0,57.0
2020,그레나다,출항,32.0,32.0,0.0
2020,그리스,출항,16723.0,16697.0,26.0
2020,기니,출항,170.0,170.0,0.0
2020,나미비아,출항,55.0,55.0,0.0
2020,나이지리아,출항,2756.0,2756.0,0.0
2020,남아프리카,출항,4869.0,4779.0,90.0
2020,네덜란드,출항,68338.75,68095.75,243.0
2020,노르웨이,출항,306.0,306.0,0.0
2020,뉴질랜드,출항,16432.0,14690.0,1742.0
2020,뉴칼레도니아,출항,273.0,267.0,6.0
2020,니카라과,출항,803.5,803.5,0.0
2020,대만,출항,125381.5,118107.75,7273.75
2020,대한민국,출항,94203.5,1607.0,92596.5
2020,덴마크,출항,2137.0,2137.0,0.0
2020,도미니카 공화국,출항,2240.0,2097.0,143.0
2020,도미니카 연방,출항,5.0,5.0,0.0
2020,독일,출항,85075.0,84196.0,879.0
2020,동티모르,출항,10.0,10.0,0.0
2020,라이베리아,출항,66.0,66.0,0.0
2020,라트비아,출항,462.25,462.25,0.0
2020,러시아,출항,134270.5,126100.5,8170.0
2020,레바논,출항,1061.0,1061.0,0.0
2020,레위니옹,출항,51.0,51.0,0.0
2020,루마니아,출항,3180.0,3174.0,6.0
2020,리비아,출항,1387.0,1387.0,0.0
