,2023,,,,,,2024,,,,,,전년대비증감율(%),,,,,
,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,
국가명,계,적,공,계,적,공,계,적,공,계,적,공,증감_계,증감_적,증감_공,증감_계,증감_적,증감_공
합계,"1,916,583","1,588,144","328,439","23,152,998","19,255,132","3,897,866","2,067,420","1,750,963","316,457","24,402,020","20,343,929","4,058,092",7.87,10.25,-3.65,5.39,5.65,4.11
가나,776,676,100,"10,318","8,159","2,159","1,172","1,172",0,"11,466","8,924","2,542",51.03,73.37,-100,11.13,9.38,17.74
가봉,144,144,0,"1,915","1,915",0,649,649,0,"2,906","2,906",0,350.69,350.69,,51.75,51.75,
가이아나,686,686,0,"10,614","10,595",19,332,327,5,"6,545","6,540",5,-51.60,-52.33,0,-38.34,-38.27,-73.68
감비아,35,35,0,278,278,0,17,17,0,464,464,0,-51.43,-51.43,,66.91,66.91,
과들루프,50,50,0,559,559,0,55,55,0,654,654,0,10.00,10.00,,16.99,16.99,
과테말라,"3,488","3,486",2,"48,024","46,425","1,599","5,771","5,771",0,"63,696","62,710",986,65.46,65.56,-100,32.64,35.08,-38.34
괌,"2,801",859,"1,943","26,166","11,722","14,444","2,448",409,"2,038","22,905","5,924","16,980",-12.62,-52.33,4.93,-12.46,-49.46,17.56
그레나다,48,48,0,731,599,132,17,17,0,314,314,0,-64.58,-64.58,,-57.05,-47.58,-100
그리스,"5,288","3,466","1,822","44,433","32,873","11,560","4,726","3,989",737,"41,628","33,101","8,527",-10.63,15.09,-59.55,-6.31,0.69,-26.24
기니,190,190,0,"1,778","1,778",0,296,296,0,"2,443","2,443",0,55.79,55.79,,37.44,37.44,
기니비사우,9,9,0,62,62,0,25,25,0,107,107,0,177.78,177.78,,72.58,72.58,
나미비아,247,247,0,"1,541","1,541",0,243,243,0,"2,373","2,373",0,-1.62,-1.62,,53.99,53.99,
나우루,6,6,0,122,122,0,18,18,0,176,176,0,200.00,200.00,,44.26,44.26,
나이지리아,"1,018","1,018",0,"15,918","13,880","2,038","2,003","1,965",38,"14,716","13,945",771,96.76,93.03,0,-7.55,0.47,-62.17
남아프리카,"1,440","1,440",0,"22,732","22,547",185,"3,155","3,094",61,"34,092","31,906","2,186",119.10,114.86,0,49.97,41.51,"1,081.62"
네덜란드,"16,694","12,858","3,836","188,830","155,493","33,337","13,476","12,513",963,"190,290","167,741","22,549",-19.28,-2.68,-74.90,0.77,7.88,-32.36
네팔,,,,5,5,0,,,,,,,,,,-100,-100,
노르웨이,"1,313","1,313",0,"7,877","7,873",4,"1,703","1,703",0,"8,259","8,254",5,29.70,29.70,,4.84,4.83,25.00
뉴질랜드,"5,663","4,511","1,152","74,231","60,623","13,608","5,267","4,879",388,"86,557","72,203","14,354",-6.99,8.16,-66.32,16.60,19.10,5.48
뉴칼레도니아,596,370,226,"8,684","6,021","2,663",191,158,33,"6,138","3,606","2,532",-67.95,-57.30,-85.40,-29.32,-40.11,-4.92
니우에,,,,,,,,,,3,3,0,,,,0,0,
니카라과,"1,059","1,059",0,"9,807","9,719",88,987,987,0,"11,525","10,733",792,-6.80,-6.80,,17.52,10.43,800.00
대만,"28,579","21,649","6,930","340,556","268,926","71,630","32,488","23,826","8,662","342,220","253,694","88,527",13.68,10.05,24.99,0.49,-5.66,23.59
대한민국,"39,787","25,891","13,896","498,938","295,917","203,021","38,550","25,096","13,454","509,602","318,524","191,078",-3.11,-3.07,-3.18,2.14,7.64,-5.88
덴마크,"1,492","1,468",24,"21,852","21,131",721,"1,291","1,245",46,"17,430","17,002",428,-13.47,-15.19,91.67,-20.23,-19.54,-40.62
도미니카 공화국,"4,205","4,186",19,"54,133","53,739",394,"3,617","3,617",0,"43,711","42,823",888,-13.98,-13.59,-100,-19.25,-20.31,125.38
도미니카 연방,2,2,0,100,100,0,23,23,0,170,170,0,"1,050.00","1,050.00",,70.00,70.00,
독일,"16,984","16,019",965,"212,077","199,386","12,691","14,538","14,172",366,"199,481","193,603","5,878",-14.40,-11.53,-62.07,-5.94,-2.90,-53.68
동티모르,5,5,0,160,157,3,26,26,0,215,215,0,420.00,420.00,,34.38,36.94,-100
라오스,,,,1,1,0,,,,,,,,,,-100,-100,
라이베리아,48,48,0,571,571,0,36,36,0,437,437,0,-25.00,-25.00,,-23.51,-23.51,
라트비아,671,671,0,"12,029","12,029",0,707,707,0,"11,939","11,933",6,5.37,5.37,,-0.75,-0.80,0
