연도,국가명,수입,수출,환적,전체물동량
2020,우크라이나,4802.0,2294.0,15479.5,22575.5
2020,원양어획지역,22.0,0.0,917.0,939.0
2020,이라크,1649.0,2802.75,865.25,5317.0
2020,이란,118.0,12.0,15.0,145.0
2020,이스라엘,8466.0,12971.25,15042.25,36479.5
2020,이집트,16039.5,42384.25,27652.75,86076.5
2020,이탈리아,54858.5,48541.5,49566.75,152966.75
2020,인도,110664.25,130510.75,90122.25,331297.25
2020,인도네시아,76765.75,87049.25,185317.25,349132.25
2020,일본,833983.75,439522.0,1712547.25,2986053.0
2020,자메이카,10370.25,3323.0,16808.25,30501.5
2020,적도 기니,19.0,6.0,30.0,55.0
2020,조지아,221.0,404.0,2172.5,2797.5
2020,중국,1126398.5,1158596.25,3831163.75,6116158.5
2020,지부티,1071.0,334.0,504.0,1909.0
2020,지브롤터,29.0,1.0,0.0,30.0
2020,차드,0.0,0.0,1.0,1.0
2020,체코,40.0,0.0,1.0,41.0
2020,칠레,67051.0,27715.0,255048.75,349814.75
2020,카메룬,15.0,326.0,338.0,679.0
2020,카보 베르데,0.0,0.0,19.0,19.0
2020,카타르,5475.0,4382.0,6260.5,16117.5
2020,캄보디아,1644.0,5260.25,5750.0,12654.25
2020,캐나다,90616.5,120916.0,465154.5,676687.0
2020,케냐,373.0,2134.0,1577.0,4084.0
2020,케이맨 제도,0.0,2.0,94.0,96.0
2020,코모로,3.0,6.0,2.0,11.0
2020,코스타리카,1105.0,806.0,14340.75,16251.75
2020,코트디부아르,78.0,691.0,464.0,1233.0
2020,콜롬비아,14837.0,16058.0,90590.25,121485.25
2020,콩고,140.0,263.0,25.0,428.0
2020,콩고 민주 공화국,37.0,405.0,146.0,588.0
2020,쿠바,8.0,273.0,3362.0,3643.0
2020,쿠웨이트,644.0,1127.0,1027.0,2798.0
2020,쿡 제도,0.0,0.0,1.0,1.0
2020,퀴라소,0.0,0.0,26.0,26.0
2020,크로아티아,1468.0,8577.25,2461.5,12506.75
2020,키리바시,839.0,42.0,1975.0,2856.0
2020,키프로스,144.0,133.0,299.0,576.0
2020,탄자니아,2612.0,2177.0,708.0,5497.0
2020,태국,78970.25,101437.0,186158.75,366566.0
2020,토고,1240.0,1979.0,182.5,3401.5
2020,통가,1454.0,75.0,1060.0,2589.0
2020,투발루,0.0,0.0,2.0,2.0
2020,튀니지,671.0,792.0,1736.5,3199.5
