입출항구분,국가명,연도,물동량
출항,마르티니크,2020,37.0
출항,마샬 제도,2020,773.0
출항,마요트,2020,84.0
출항,마카오,2020,1.0
출항,말레이시아,2020,93544.25
출항,멕시코,2020,149003.5
출항,모로코,2020,2635.0
출항,모리셔스,2020,150.0
출항,모리타니,2020,84.0
출항,모잠비크,2020,1309.0
출항,몬테네그로,2020,38.0
출항,몰디브,2020,23.0
출항,몰타,2020,635.0
출항,미국,2020,801271.5
출항,미국령 버진아일랜드,2020,1.0
출항,미얀마,2020,1517.25
출항,미크로네시아,2020,333.0
출항,바누아투,2020,483.0
출항,바레인,2020,451.0
출항,바베이도스,2020,38.0
출항,바하마,2020,25976.0
출항,방글라데시,2020,565.0
출항,베냉,2020,58.0
출항,베네수엘라,2020,376.0
출항,베트남,2020,232100.0
출항,벨기에,2020,21883.0
출항,벨리즈,2020,32.0
출항,북마리아나 제도,2020,924.0
출항,불가리아,2020,674.0
출항,브라질,2020,50219.0
출항,브루나이,2020,0.0
출항,사모아,2020,94.0
출항,사우디아라비아,2020,44105.5
출항,세네갈,2020,735.0
출항,세이셸,2020,123.0
출항,세인트루시아,2020,16.0
출항,세인트키츠 네비스,2020,12.0
출항,소말리아,2020,153.0
출항,솔로몬제도,2020,450.0
출항,수단,2020,1227.0
출항,수리남,2020,32.0
출항,스리랑카,2020,13572.0
출항,스웨덴,2020,4732.0
출항,스페인,2020,34634.75
출항,슬로베니아,2020,93265.75
출항,시리아,2020,1716.0
출항,시에라 리온,2020,34.0
출항,싱가포르,2020,77908.25
출항,아랍에미리트연합국,2020,68517.5
출항,아루바,2020,1.0
출항,아르헨티나,2020,6418.0
출항,아메리칸사모아,2020,820.0
출항,아이티,2020,208.0
출항,아일랜드,2020,427.0
출항,알바니아,2020,122.0
출항,알제리,2020,2674.0
출항,앙골라,2020,713.0
출항,앤티가 바부다,2020,2.0
출항,앤틸리스제도,2020,46.0
출항,에스토니아,2020,714.25
출항,에콰도르,2020,20467.0
출항,엘살바도르,2020,794.0
출항,영국,2020,25296.75
출항,영국령 버진아일랜드,2020,2.0
출항,예멘,2020,453.0
출항,오만,2020,4054.0
