연도,국가명,물동량
2021,베네수엘라,11877.0
2021,베트남,219084.0
2021,벨기에,36566.0
2021,벨리즈,1268.0
2021,볼리비아,0.0
2021,북마리아나 제도,1730.25
2021,불가리아,1878.0
2021,브라질,130221.0
2021,브루나이,171.0
2021,사모아,3183.0
2021,사우디아라비아,28281.25
2021,상투메 프린시페,2.0
2021,세네갈,874.0
2021,세이셸,27.0
2021,세인트 빈센트 그레나딘,87.0
2021,세인트루시아,214.0
2021,세인트키츠 네비스,86.0
2021,소말리아,69.0
2021,솔로몬제도,1668.0
2021,수단,2155.0
2021,수리남,2399.0
2021,스리랑카,4769.0
2021,스웨덴,12026.0
2021,스페인,56063.25
2021,슬로베니아,18016.5
2021,시리아,449.0
2021,시에라 리온,145.0
2021,싱가포르,93313.5
2021,아랍에미리트연합국,59885.5
2021,아루바,225.75
2021,아르헨티나,21900.0
2021,아메리칸사모아,1348.0
2021,아이슬란드,58.0
2021,아이티,1805.0
2021,아일랜드,1663.0
2021,알바니아,949.0
2021,알제리,2540.5
2021,앙골라,108.0
2021,앤티가 바부다,170.0
2021,앤틸리스제도,474.0
2021,앵귈라,6.0
2021,에리트레아,8.0
2021,에스토니아,1176.0
2021,에콰도르,84479.25
2021,엘살바도르,7787.5
2021,영국,32629.0
2021,영국령 버진아일랜드,13.0
2021,예멘,77.0
2021,오만,12121.75
2021,오스트리아,2.0
2021,온두라스,6427.75
2021,왈리스 푸투나,2.0
2021,요르단,3293.25
2021,우루과이,10304.0
2021,우크라이나,12949.5
2021,원양어획지역,897.0
2021,이라크,364.0
2021,이란,16.0
2021,이스라엘,21031.0
2021,이집트,28911.0
2021,이탈리아,66787.75
2021,인도,114604.0
2021,인도네시아,203194.75
2021,일본,1716627.0
2021,자메이카,16256.0
2021,적도 기니,189.0
2021,조지아,1625.25
2021,중국,3891253.25
2021,지부티,474.0
2021,지브롤터,4.0
2021,차드,0.0
2021,체코,0.0
2021,칠레,319448.75
2021,카메룬,594.0
2021,카보 베르데,0.0
2021,카타르,5487.5
2021,캄보디아,6015.25
2021,캐나다,501811.25
2021,케냐,1589.0
2021,케이맨 제도,102.0
2021,코모로,4.0
2021,코스타리카,15718.75
2021,코트디부아르,1050.0
2021,콜롬비아,96033.0
2021,콩고,89.0
2021,콩고 민주 공화국,62.0
