연도,국가명,물동량
2021,아랍에미리트연합국,65359.0
2021,아루바,10.0
2021,아르헨티나,7962.0
2021,아메리칸사모아,937.0
2021,아이슬란드,12.0
2021,아이티,93.0
2021,아일랜드,2152.0
2021,알바니아,2367.0
2021,알제리,8.0
2021,앙골라,56.0
2021,앤틸리스제도,9.0
2021,에스토니아,3096.25
2021,에콰도르,13330.0
2021,엘살바도르,2176.0
2021,영국,27827.25
2021,예멘,1687.75
2021,오만,7804.0
2021,오스트리아,2.0
2021,온두라스,891.0
2021,요르단,2523.0
2021,우루과이,2496.0
2021,우크라이나,4612.25
2021,원양어획지역,4.0
2021,이라크,16.0
2021,이란,289.0
2021,이스라엘,6730.0
2021,이집트,17730.5
2021,이탈리아,63326.5
2021,인도,124093.75
2021,인도네시아,90140.0
2021,일본,775342.25
2021,자메이카,7711.0
2021,적도 기니,13.0
2021,조지아,221.0
2021,중국,1232380.75
2021,지부티,1148.0
2021,지브롤터,0.0
2021,체코,9.0
2021,칠레,63117.0
2021,카메룬,26.0
2021,카보 베르데,2.0
2021,카타르,8405.75
2021,캄보디아,1600.0
2021,캐나다,103319.5
2021,케냐,542.0
2021,코모로,0.0
2021,코스타리카,2295.0
2021,코트디부아르,121.0
2021,콜롬비아,14990.0
2021,콩고,48.0
2021,콩고 민주 공화국,68.0
2021,쿠바,47.0
2021,쿠웨이트,1296.0
2021,퀴라소,10.0
2021,크로아티아,2253.0
2021,키리바시,2361.0
2021,키프로스,157.0
2021,탄자니아,3074.0
2021,태국,84669.25
2021,토고,384.0
2021,통가,2540.0
2021,튀니지,898.0
2021,튀르키예,26007.5
2021,트리니다드 토바고,440.0
2021,파나마,37584.0
2021,파라과이,254.0
2021,파키스탄,20882.25
2021,파푸아 뉴기니,606.0
2021,팔라우,24.0
2021,페로 제도,0.0
2021,페루,19018.0
2021,포르투갈,3023.0
2021,폴란드,13953.75
2021,푸에르토리코,1793.0
2021,프랑스,38269.5
2021,프랑스령 기아나,2.0
2021,프랑스령 폴리네시아,2463.0
2021,피지,1000.0
2021,핀란드,14204.0
2021,필리핀,53752.25
2021,헝가리,106.0
2021,호주,152347.0
2021,홍콩,57540.0
2022,가나,2526.0
2022,가봉,160.0
2022,가이아나,53.0
2022,감비아,96.0
2022,과들루프,7.0
2022,과테말라,5122.0
2022,괌,12501.0
2022,그레나다,2.0
2022,그리스,6607.25
2022,기니,780.0
2022,기니비사우,14.0
2022,나미비아,158.0
2022,나이지리아,2529.0
2022,남아프리카,8444.0
2022,네덜란드,73827.0
2022,노르웨이,6935.25
2022,뉴질랜드,30793.0
2022,뉴칼레도니아,3220.0
2022,니카라과,227.0
2022,대만,85566.5
2022,대한민국,68290.0
2022,덴마크,13101.0
2022,도미니카 공화국,3269.0
2022,독일,99673.25
2022,동티모르,18.0
2022,라이베리아,36.0
2022,라트비아,6994.0
2022,러시아,136597.0
2022,레바논,904.0
2022,레위니옹,33.0
2022,루마니아,5382.0
2022,리비아,523.0
2022,리투아니아,2049.0
2022,마다가스카르,345.0
2022,마르티니크,17.0
2022,마샬 제도,4827.0
2022,마요트,0.0
2022,마카오,1.0
2022,말레이시아,94098.75
2022,멕시코,102146.5
2022,모로코,2755.0
2022,모리셔스,366.0
2022,모리타니,354.0
2022,모잠비크,1133.0
2022,몬테네그로,1400.0
2022,몰디브,4.0
2022,몰타,931.0
2022,미국,784513.25
2022,미얀마,3754.0
2022,미크로네시아,190.0
2022,바누아투,2028.0
2022,바레인,2790.0
2022,바베이도스,1.0
2022,바하마,1292.0
2022,방글라데시,7794.0
2022,베냉,102.0
2022,베네수엘라,880.0
2022,베트남,162114.75
2022,벨기에,43754.0
2022,벨리즈,4.0
2022,북마리아나 제도,4528.5
2022,불가리아,1327.0
2022,브라질,46956.0
2022,브루나이,10.0
2022,사모아,1106.0
2022,사우디아라비아,27214.25
2022,세네갈,958.0
2022,세이셸,79.0
2022,세인트루시아,48.0
2022,소말리아,0.0
2022,솔로몬제도,148.0
2022,수단,113.0
2022,수리남,553.0
2022,스리랑카,5026.0
2022,스웨덴,15547.25
2022,스페인,52456.5
2022,슬로바키아,5.0
2022,슬로베니아,13991.25
2022,시리아,18.0
2022,시에라 리온,174.0
2022,싱가포르,52979.25
2022,아랍에미리트연합국,61025.75
2022,아루바,4.0
2022,아르헨티나,14074.0
2022,아메리칸사모아,3998.0
2022,아이슬란드,64.0
2022,아이티,143.0
2022,아일랜드,3156.0
2022,알바니아,664.0
2022,알제리,40.0
2022,앙골라,172.0
2022,앤티가 바부다,2.0
2022,앤틸리스제도,34.0
2022,에스토니아,2391.0
2022,에콰도르,11026.0
2022,엘살바도르,1022.0
2022,영국,20455.0
2022,예멘,2527.0
2022,오만,5459.25
2022,오스트리아,0.0
2022,온두라스,881.0
2022,요르단,3663.0
2022,우루과이,5114.0
2022,우크라이나,1726.0
2022,원양어획지역,0.0
2022,이라크,72.0
2022,이란,556.0
2022,이스라엘,10862.0
2022,이집트,7238.0
2022,이탈리아,67366.5
2022,인도,105394.0
2022,인도네시아,81565.25
2022,일본,756854.0
2022,자메이카,9216.0
2022,적도 기니,10.0
2022,조지아,152.0
2022,중국,1176160.75
2022,지부티,1085.0
2022,체코,8.0
2022,칠레,61448.0
2022,카메룬,14.0
2022,카보 베르데,7.0
2022,카자흐스탄,2.0
2022,카타르,5671.5
2022,캄보디아,1761.0
2022,캐나다,118453.25
2022,케냐,802.0
2022,코스타리카,2143.0
2022,코트디부아르,158.0
2022,콜롬비아,14595.0
2022,콩고,30.0
2022,콩고 민주 공화국,65.0
2022,쿠바,13.0
2022,쿠웨이트,702.0
2022,퀴라소,4.0
2022,크로아티아,2088.0
2022,키리바시,365.0
2022,키프로스,144.0
2022,탄자니아,3563.0
2022,태국,90377.5
2022,토고,1335.0
2022,통가,1476.0
2022,튀니지,868.0
2022,튀르키예,31981.75
2022,트리니다드 토바고,562.0
2022,파나마,56514.5
2022,파라과이,272.0
2022,파키스탄,16088.0
2022,파푸아 뉴기니,884.0
2022,팔라우,41.0
2022,페로 제도,0.0
2022,페루,18110.0
2022,포르투갈,3448.0
2022,폴란드,13283.0
2022,푸에르토리코,2732.0
2022,프랑스,38834.25
2022,프랑스령 기아나,3.0
2022,프랑스령 폴리네시아,4378.0
2022,피지,1756.0
2022,핀란드,12599.25
2022,필리핀,71176.75
2022,헝가리,3.0
2022,호주,142809.25
2022,홍콩,40212.0
2023,가나,2670.0
2023,가봉,61.0
2023,가이아나,15.0
2023,감비아,103.0
2023,과들루프,4.0
2023,과테말라,3824.0
2023,괌,11275.25
2023,그레나다,4.0
2023,그리스,14533.5
2023,기니,705.0
2023,기니비사우,6.0
2023,나미비아,65.0
2023,나이지리아,3454.0
2023,남아프리카,7137.0
2023,네덜란드,87316.5
2023,노르웨이,5090.25
2023,뉴질랜드,34214.0
2023,뉴칼레도니아,2978.0
2023,니카라과,315.0
2023,대만,89855.25
2023,대한민국,72041.0
2023,덴마크,12539.0
2023,도미니카 공화국,2128.0
2023,독일,102020.0
2023,동티모르,14.0
2023,라이베리아,67.0
2023,라트비아,7161.0
2023,러시아,128199.0
2023,레바논,936.0
2023,레위니옹,28.0
2023,루마니아,2656.75
2023,리비아,835.0
2023,리투아니아,1857.0
2023,마다가스카르,550.0
2023,마르티니크,31.0
2023,마샬 제도,3608.0
2023,마요트,2.0
2023,마카오,1.0
2023,말레이시아,100393.75
2023,멕시코,178959.0
2023,모로코,4544.0
2023,모리셔스,116.0
2023,모리타니,359.0
2023,모잠비크,1237.0
2023,몬테네그로,1627.0
2023,몰디브,0.0
2023,몰타,284.0
2023,미국,751097.0
2023,미얀마,3455.0
2023,미크로네시아,128.0
2023,바누아투,2392.0
2023,바레인,1721.0
2023,바베이도스,0.0
2023,바하마,2954.0
2023,방글라데시,8439.75
2023,베냉,0.0
2023,베네수엘라,366.0
2023,베트남,156915.5
2023,벨기에,44682.25
2023,벨리즈,0.0
2023,북마리아나 제도,2246.0
2023,불가리아,1032.0
2023,브라질,57886.0
2023,브루나이,32.0
2023,사모아,935.0
2023,사우디아라비아,49319.5
2023,세네갈,860.0
2023,세이셸,106.0
2023,세인트루시아,32.0
2023,소말리아,5.0
2023,솔로몬제도,146.0
2023,수단,62.0
2023,수리남,783.0
2023,스리랑카,3504.0
2023,스웨덴,15163.5
2023,스페인,52991.75
2023,슬로바키아,14.0
2023,슬로베니아,13780.25
2023,시리아,5.0
2023,시에라 리온,182.0
2023,싱가포르,74247.5
2023,아랍에미리트연합국,61896.5
2023,아루바,8.0
2023,아르헨티나,17225.0
2023,아메리칸사모아,4055.0
2023,아이슬란드,85.0
2023,아이티,44.0
2023,아일랜드,2913.0
2023,알바니아,20.0
2023,알제리,59.0
2023,앙골라,85.0
2023,앤티가 바부다,2.0
2023,앤틸리스제도,54.0
2023,에스토니아,2755.0
2023,에콰도르,11268.0
2023,엘살바도르,925.0
2023,영국,28014.25
2023,예멘,668.0
2023,오만,7833.25
2023,오스트리아,16.0
2023,온두라스,550.0
2023,요르단,6695.0
2023,우루과이,4091.0
2023,우크라이나,0.0
2023,원양어획지역,24.0
2023,이라크,770.0
2023,이란,55.0
2023,이스라엘,34896.75
2023,이집트,13409.0
2023,이탈리아,61040.25
2023,인도,99908.5
2023,인도네시아,89659.75
2023,일본,645989.5
2023,자메이카,10403.0
2023,적도 기니,14.0
2023,조지아,205.0
2023,중국,1310101.25
2023,지부티,2086.0
2023,체코,171.0
2023,칠레,61458.0
2023,카메룬,39.0
2023,카보 베르데,12.0
2023,카자흐스탄,0.0
2023,카타르,5882.5
2023,캄보디아,1715.0
2023,캐나다,119008.25
2023,케냐,731.0
2023,코스타리카,4029.0
2023,코트디부아르,283.0
2023,콜롬비아,23011.0
2023,콩고,277.0
2023,콩고 민주 공화국,22.0
2023,쿠바,39.0
2023,쿠웨이트,881.0
2023,퀴라소,41.0
2023,크로아티아,2335.25
2023,키리바시,38.0
2023,키프로스,233.0
2023,탄자니아,2890.0
2023,태국,92095.5
2023,토고,2077.0
2023,통가,1152.0
2023,튀니지,1038.0
2023,튀르키예,25641.5
2023,트리니다드 토바고,95.0
2023,파나마,17593.25
2023,파라과이,198.0
2023,파키스탄,16117.75
2023,파푸아 뉴기니,1287.0
2023,팔라우,23.0
2023,페로 제도,13.0
2023,페루,26407.0
2023,포르투갈,5030.0
2023,폴란드,14470.25
2023,푸에르토리코,1233.0
2023,프랑스,36389.25
2023,프랑스령 기아나,4.0
2023,프랑스령 폴리네시아,4085.0
2023,피지,1854.0
2023,핀란드,10700.0
2023,필리핀,123259.0
2023,헝가리,2.0
2023,호주,137153.75
2023,홍콩,40451.0
2024,가나,3000.0
2024,가봉,12.0
2024,가이아나,9.0
2024,감비아,151.0
2024,과들루프,0.0
2024,과테말라,3648.0
2024,괌,12938.75
2024,그레나다,2.0
2024,그리스,7201.0
2024,기니,475.0
2024,기니비사우,10.0
2024,나미비아,67.0
2024,나이지리아,2553.0
2024,남아프리카,8956.0
2024,네덜란드,84044.25
2024,노르웨이,6351.0
2024,뉴질랜드,34736.0
2024,뉴칼레도니아,2125.0
2024,니카라과,347.0
2024,대만,101895.75
2024,대한민국,83113.0
2024,덴마크,12538.25
2024,도미니카 공화국,2312.0
2024,독일,91140.75
2024,동티모르,3.0
2024,라이베리아,14.0
2024,라트비아,8130.0
2024,러시아,130221.0
2024,레바논,861.0
2024,레위니옹,23.0
2024,루마니아,2680.25
2024,리비아,790.0
2024,리투아니아,3354.5
2024,마다가스카르,410.0
2024,마르티니크,4.0
2024,마샬 제도,3075.0
2024,마요트,1.0
2024,마카오,2.0
2024,말레이시아,80875.75
2024,멕시코,191591.0
2024,모로코,4417.0
2024,모리셔스,164.0
2024,모리타니,480.0
2024,모잠비크,1082.0
2024,몬테네그로,1142.0
2024,몰디브,1.0
2024,몰타,1704.0
2024,미국,901699.75
2024,미얀마,2188.0
2024,미크로네시아,72.0
2024,바누아투,2028.0
2024,바레인,2505.0
2024,바베이도스,1.0
2024,바하마,1429.0
2024,방글라데시,4385.0
2024,베냉,30.0
2024,베네수엘라,217.0
2024,베트남,185013.75
2024,벨기에,39853.5
2024,북마리아나 제도,2843.25
2024,불가리아,1408.0
2024,브라질,40384.0
2024,브루나이,38.0
2024,사모아,2602.0
2024,사우디아라비아,24922.5
2024,세네갈,970.0
2024,세이셸,17.0
2024,세인트 빈센트 그레나딘,1.0
2024,세인트루시아,3.0
2024,소말리아,79.0
2024,솔로몬제도,24.0
2024,수단,22.0
2024,수리남,546.0
2024,스리랑카,3746.0
2024,스웨덴,13873.5
2024,스위스,2.0
2024,스페인,49162.25
2024,슬로베니아,11190.75
2024,시리아,2.0
2024,시에라 리온,145.0
2024,싱가포르,59034.25
2024,아랍에미리트연합국,68071.0
2024,아루바,18.0
2024,아르헨티나,4054.0
2024,아메리칸사모아,3196.0
2024,아이슬란드,124.0
2024,아이티,14.0
2024,아일랜드,2856.0
2024,알바니아,9.0
2024,알제리,59.0
2024,앙골라,21.0
2024,앤티가 바부다,0.0
2024,앤틸리스제도,42.0
2024,에스토니아,2597.0
2024,에콰도르,22404.0
2024,엘살바도르,1121.0
2024,영국,23133.5
2024,예멘,894.0
2024,오만,6180.75
2024,오스트리아,185.0
2024,온두라스,707.0
2024,요르단,2401.0
2024,우루과이,1058.0
2024,우즈베키스탄,0.0
2024,우크라이나,23.0
2024,이라크,2364.0
2024,이란,99.0
2024,이스라엘,23828.5
2024,이집트,9390.75
2024,이탈리아,65734.0
2024,인도,108985.0
2024,인도네시아,87943.5
2024,일본,674401.0
2024,자메이카,8642.0
2024,적도 기니,10.0
2024,조지아,263.0
2024,중국,1278576.5
2024,지부티,3753.0
2024,체코,69.0
2024,칠레,68868.0
2024,카메룬,96.0
2024,카보 베르데,8.0
2024,카타르,4456.75
2024,캄보디아,2139.0
2024,캐나다,110124.0
2024,케냐,654.0
2024,코스타리카,3178.0
2024,코트디부아르,1280.0
2024,콜롬비아,22058.0
2024,콩고,9.0
2024,콩고 민주 공화국,12.0
2024,쿠바,27.0
2024,쿠웨이트,729.0
2024,퀴라소,2.0
2024,크로아티아,1549.0
2024,키리바시,886.0
2024,키프로스,152.0
2024,탄자니아,4106.0
2024,태국,99452.75
2024,토고,2369.0
2024,통가,703.0
2024,튀니지,775.0
2024,튀르키예,28903.5
2024,트리니다드 토바고,476.0
2024,파나마,28745.0
2024,파라과이,165.0
2024,파키스탄,9911.0
2024,파푸아 뉴기니,2105.0
2024,팔라우,38.0
2024,페로 제도,40.0
2024,페루,20327.0
2024,포르투갈,3986.0
2024,폴란드,14911.25
2024,푸에르토리코,973.0
2024,프랑스,28665.5
2024,프랑스령 기아나,4.0
2024,프랑스령 폴리네시아,4717.0
2024,피지,975.0
2024,핀란드,10281.0
2024,필리핀,94013.0
2024,헝가리,103.0
2024,호주,161687.0
2024,홍콩,32715.25
2025,가나,1943.0
2025,가봉,26.0
2025,가이아나,58.0
2025,감비아,132.0
2025,과들루프,16.0
2025,과테말라,7166.0
2025,괌,12050.75
2025,그레나다,0.0
2025,그리스,2574.5
2025,기니,366.0
2025,기니비사우,12.0
2025,나미비아,270.0
2025,나이지리아,1397.0
2025,남아프리카,8788.0
2025,네덜란드,69040.5
2025,노르웨이,6842.25
2025,뉴질랜드,31212.0
2025,뉴칼레도니아,1468.0
2025,니카라과,1171.0
2025,대만,88676.0
2025,대한민국,69501.75
2025,덴마크,12069.0
2025,도미니카 공화국,3257.0
2025,독일,83822.75
2025,동티모르,5.0
2025,라이베리아,8.0
2025,라트비아,8826.0
2025,러시아,111517.0
2025,레바논,805.0
2025,레위니옹,27.0
2025,루마니아,1488.5
2025,리비아,1267.0
2025,리투아니아,2795.5
2025,마다가스카르,482.0
2025,마르티니크,718.0
2025,마샬 제도,4258.0
2025,마요트,6.0
2025,마카오,0.0
2025,말레이시아,72997.5
2025,멕시코,112828.25
2025,모로코,4336.0
2025,모리셔스,145.0
2025,모리타니,149.0
2025,모잠비크,1854.0
2025,몬테네그로,1316.0
2025,몰디브,0.0
2025,몰타,3016.0
2025,미국,873331.5
2025,미얀마,2172.0
2025,미크로네시아,62.0
2025,바누아투,1107.0
2025,바레인,5838.0
2025,바베이도스,2.0
2025,바하마,825.0
2025,방글라데시,3522.0
2025,베냉,196.0
2025,베네수엘라,250.0
2025,베트남,181919.0
2025,벨기에,39918.25
2025,북마리아나 제도,846.25
2025,불가리아,724.0
2025,브라질,47008.0
2025,브루나이,32.0
2025,사모아,2267.0
2025,사우디아라비아,36290.25
2025,세네갈,957.0
2025,세이셸,21.0
2025,세인트 빈센트 그레나딘,0.0
2025,세인트루시아,6.0
2025,소말리아,81.0
2025,솔로몬제도,1635.0
2025,수단,3.0
2025,수리남,565.0
2025,스리랑카,5505.0
2025,스웨덴,13429.0
2025,스위스,0.0
2025,스페인,56435.5
2025,슬로베니아,13194.5
2025,시리아,0.0
2025,시에라 리온,129.0
2025,싱가포르,51592.75
2025,아랍에미리트연합국,65254.0
2025,아루바,10.0
2025,아르헨티나,3752.0
2025,아메리칸사모아,2380.0
2025,아이슬란드,82.0
2025,아이티,44.0
2025,아일랜드,2931.0
2025,알바니아,12.0
2025,알제리,36.0
2025,앙골라,25.0
2025,앤티가 바부다,2.0
2025,앤틸리스제도,50.0
2025,에스토니아,3366.5
2025,에콰도르,22228.25
2025,엘살바도르,1214.0
2025,영국,22818.75
2025,예멘,585.0
2025,오만,3022.0
2025,오스트리아,122.0
2025,온두라스,669.0
2025,요르단,2492.0
2025,우루과이,1154.0
2025,우즈베키스탄,2.0
2025,우크라이나,155.0
2025,이라크,2671.0
2025,이란,28.0
2025,이스라엘,27033.25
2025,이집트,7006.0
2025,이탈리아,55039.75
2025,인도,108558.25
2025,인도네시아,85233.25
2025,일본,781873.0
2025,자메이카,7819.0
2025,적도 기니,7.0
2025,조지아,143.0
2025,중국,1270019.0
2025,지부티,1979.0
2025,체코,138.0
2025,칠레,65324.75
2025,카메룬,9.0
2025,카보 베르데,4.0
2025,카타르,5159.0
2025,캄보디아,3804.0
2025,캐나다,125733.5
2025,케냐,625.0
2025,코스타리카,2941.0
2025,코트디부아르,3219.0
2025,콜롬비아,38029.0
2025,콩고,144.0
2025,콩고 민주 공화국,24.0
2025,쿠바,98.0
2025,쿠웨이트,881.0
2025,퀴라소,0.0
2025,크로아티아,1479.25
2025,키리바시,2284.0
2025,키프로스,133.0
2025,탄자니아,6562.0
2025,태국,94107.0
2025,토고,2579.0
2025,통가,235.0
2025,튀니지,535.0
2025,튀르키예,30797.5
2025,트리니다드 토바고,380.0
2025,파나마,22921.25
2025,파라과이,205.0
2025,파키스탄,15038.25
2025,파푸아 뉴기니,2349.0
2025,팔라우,16.0
2025,페로 제도,38.0
2025,페루,40093.0
2025,포르투갈,3308.5
2025,폴란드,17145.5
2025,푸에르토리코,1185.0
2025,프랑스,28923.25
2025,프랑스령 기아나,10.0
2025,프랑스령 폴리네시아,4929.0
2025,피지,650.0
2025,핀란드,13018.0
2025,필리핀,90877.75
2025,헝가리,33.0
2025,호주,159320.0
2025,홍콩,27288.0
