연도,월,국가명,수입,수출,환적,전체물동량
2020,7,과들루프,0.0,1.0,2.0,3.0
2020,7,과테말라,366.0,261.0,2048.0,2675.0
2020,7,괌,1184.25,272.25,661.25,2117.75
2020,7,그레나다,0.0,1.0,53.0,54.0
2020,7,그리스,680.0,1478.0,1822.0,3980.0
2020,7,기니,86.0,13.0,112.0,211.0
2020,7,기니비사우,6.0,0.0,0.0,6.0
2020,7,기타국가,0.0,0.0,0.0,0.0
2020,7,나미비아,0.0,2.0,31.0,33.0
2020,7,나우루,0.0,0.0,4.0,4.0
2020,7,나이지리아,87.0,360.0,262.0,709.0
2020,7,남아프리카,778.0,432.0,785.0,1995.0
2020,7,네덜란드,6789.25,5794.0,4721.0,17304.25
2020,7,노르웨이,451.0,26.0,123.0,600.0
2020,7,뉴질랜드,3355.0,1467.0,4011.0,8833.0
2020,7,뉴칼레도니아,58.0,18.0,872.0,948.0
2020,7,니카라과,60.0,38.0,571.0,669.0
2020,7,대만,5018.5,10847.0,15350.25,31215.75
2020,7,대한민국,3338.0,10362.0,22629.0,36329.0
2020,7,덴마크,1222.0,219.0,261.0,1702.0
2020,7,도미니카 공화국,87.0,137.0,1686.75,1910.75
2020,7,도미니카 연방,0.0,0.0,5.0,5.0
2020,7,독일,8646.0,6849.0,4443.0,19938.0
2020,7,동티모르,0.0,0.0,0.0,0.0
2020,7,라이베리아,2.0,0.0,8.0,10.0
2020,7,라트비아,1363.0,42.0,283.0,1688.0
2020,7,러시아,4417.25,10989.25,29506.75,44913.25
2020,7,레바논,97.0,60.0,210.0,367.0
2020,7,레위니옹,9.0,3.0,0.0,12.0
2020,7,루마니아,686.0,134.0,1520.25,2340.25
2020,7,리비아,28.0,75.0,24.0,127.0
2020,7,리투아니아,183.0,218.0,80.0,481.0
2020,7,마다가스카르,2.0,20.0,5.0,27.0
