,2021,,,,,,2022,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,
국가명,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공
합계,"1,864,930","1,602,184","262,747","22,706,124","19,545,081","3,161,043","1,740,410","1,437,904","302,506","22,076,785","18,706,088","3,370,697","1,916,583","1,588,144","328,439","23,152,998","19,255,132","3,897,866","2,067,420","1,750,963","316,457","24,402,020","20,343,929","4,058,092","2,086,549","1,720,674","365,875","24,882,345","20,414,363","4,467,982"
인도네시아,"34,016","32,297","1,719","397,533","377,089","20,443","28,559","27,659",900,"393,522","377,367","16,155","9,171","6,495","2,676","81,011","69,808","11,203","6,438","5,737",701,"67,749","59,888","7,861","38,507","34,355","4,152","429,307","388,045","41,262"
일본,"248,057","188,957","59,100","2,914,844","2,236,552","678,292","234,018","179,443","54,575","2,965,646","2,284,520","681,126","17,056","16,495",561,"205,612","196,386","9,226","17,733","17,282",451,"213,871","201,690","12,181","41,766","40,825",940,"464,919","454,502","10,416"
자메이카,"1,776","1,493",283,"26,582","18,600","7,982","4,504","2,911","1,593","35,670","26,654","9,016","33,177","31,126","2,051","411,662","381,512","30,150","38,324","32,504","5,820","464,216","424,382","39,834","237,742","172,029","65,714","2,887,371","2,156,658","730,713"
적도 기니,,,,211,211,0,42,42,0,162,162,0,"33,798","32,731","1,067","417,847","388,807","29,041","38,556","37,662",894,"471,281","448,027","23,254","2,975","2,111",864,"42,600","30,914","11,686"
조지아,239,239,0,"2,003","2,003",0,594,594,0,"3,163","3,163",0,"232,493","181,866","50,627","2,858,808","2,206,295","652,513","236,588","184,949","51,639","2,785,236","2,160,418","624,818",,,,190,190,0
중국,"531,058","446,088","84,970","6,297,571","5,358,057","939,514","464,740","380,200","84,540","5,945,181","4,911,469","1,033,712","3,389","2,151","1,238","45,501","34,554","10,947","4,098","3,737",361,"44,780","36,072","8,708",977,977,0,"11,372","11,372",0
지부티,171,171,0,"1,740","1,740",0,269,269,0,"2,781","2,681",100,6,6,0,212,212,0,11,11,0,43,43,0,"603,417","497,739","105,678","6,985,217","5,707,962","1,277,255"
지브롤터,4,4,0,4,4,0,,,,1,1,0,"1,944","1,944",0,"16,492","16,492",0,"1,207","1,207",0,"15,123","15,120",3,259,259,0,"5,330","4,830",500
체코,,,,9,9,0,,,,15,15,0,"520,323","427,732","92,591","6,253,993","5,139,589","1,114,404","586,467","506,538","79,929","6,757,014","5,622,962","1,134,052",1,1,0,147,147,0
칠레,"34,870","33,443","1,427","406,223","392,152","14,071","24,769","24,235",534,"363,192","348,227","14,965","1,833",247,"1,586","3,985","2,399","1,586",265,265,0,"5,714","3,307","2,407","48,436","44,640","3,796","546,399","500,770","45,629"
카메룬,22,22,0,973,973,0,141,141,0,"1,096","1,096",0,28,28,0,189,189,0,6,6,0,184,184,0,106,106,0,"2,783","2,525",258
카보 베르데,,,,7,7,0,,,,18,18,0,"31,016","28,839","2,177","407,306","385,557","21,749","45,739","43,472","2,267","440,173","403,780","36,393",,,,78,78,0
카자흐스탄,,,,,,,,,,2,2,0,225,225,0,"2,419","2,419",0,486,486,0,"2,411","2,411",0,"1,202","1,097",105,"15,314","13,017","2,297"
카타르,"1,863","1,410",453,"19,025","16,419","2,606","1,138","1,015",123,"15,365","14,060","1,305",9,9,0,44,44,0,18,18,0,126,126,0,"3,913","3,909",4,"29,270","29,201",69
캄보디아,"1,062","1,062",0,"12,068","12,068",0,"1,000","1,000",0,"12,867","12,819",48,"1,453","1,392",61,"16,360","13,924","2,437","1,538","1,500",38,"16,185","15,323",861,"68,680","61,338","7,342","822,187","722,200","99,987"
캐나다,"45,958","44,613","1,345","732,446","683,886","48,560","41,571","38,967","2,604","675,965","605,971","69,994","1,255","1,255",0,"16,145","15,934",211,"1,643","1,643",0,"17,494","17,388",106,531,531,0,"8,711","8,384",327
케냐,317,317,0,"3,540","3,540",0,338,338,0,"4,987","4,980",7,"61,354","55,323","6,031","654,653","576,700","77,953","48,410","45,135","3,275","710,572","633,910","76,662",10,10,0,174,174,0
케이맨 제도,6,6,0,107,107,0,4,4,0,264,264,0,517,517,0,"6,588","6,514",74,370,370,0,"4,491","4,459",32,2,2,0,27,27,0
코모로,2,2,0,5,5,0,,,,16,16,0,17,17,0,363,363,0,29,29,0,243,243,0,"3,457","2,785",672,"29,645","28,401","1,244"
코스타리카,"1,311","1,306",5,"19,146","18,827",319,"1,216","1,205",11,"16,810","14,990","1,820",2,2,0,61,61,0,,,,6,6,0,"2,013","1,949",64,"12,338","11,062","1,276"
코트디부아르,51,51,0,"2,041","2,038",3,394,394,0,"2,298","2,298",0,"1,802","1,802",0,"20,845","20,392",453,"2,063","2,063",0,"27,674","27,586",88,"15,219","13,015","2,204","214,872","164,352","50,520"
콜롬비아,"10,049","9,023","1,026","130,517","119,048","11,469","8,568","8,219",349,"119,121","108,603","10,518",629,629,0,"7,226","7,048",178,938,929,9,"6,825","6,414",411,13,13,0,495,403,92
콩고,6,6,0,193,193,0,29,29,0,178,178,0,"8,959","8,206",753,"146,901","120,724","26,177","18,034","15,361","2,673","173,639","147,312","26,327",40,40,0,379,379,0
콩고 민주 공화국,16,16,0,302,302,0,45,45,0,320,320,0,102,102,0,"1,314","1,064",250,154,154,0,926,926,0,404,404,0,"6,259","6,259",0
쿠바,414,414,0,"4,152","4,152",0,159,159,0,"5,808","5,808",0,68,68,0,"1,330","1,326",4,90,90,0,475,471,4,179,146,33,"3,456","2,830",626
쿠웨이트,300,300,0,"3,411","3,390",21,237,235,2,"2,857","2,853",4,"1,037","1,037",0,"8,710","8,710",0,772,772,0,"5,686","5,686",0,22,22,0,110,110,0
쿡 제도,2,2,0,6,6,0,14,14,0,32,32,0,337,337,0,"2,904","2,828",76,307,286,21,"3,263","2,854",409,83,83,0,673,673,0
퀴라소,6,6,0,190,190,0,30,30,0,276,276,0,,,,17,17,0,7,7,0,55,55,0,652,652,0,"9,335","9,323",12
크로아티아,"2,150","2,130",20,"19,857","19,747",110,"1,907","1,907",0,"24,845","24,831",14,2,2,0,108,107,1,35,35,0,251,251,0,768,443,325,"6,667","4,297","2,370"
키리바시,282,280,2,"5,047","2,688","2,359",192,190,2,"2,402","2,009",393,"1,620","1,618",2,"18,429","18,333",96,"1,356","1,354",2,"10,008","10,000",8,295,295,0,"2,394","2,385",9
키프로스,76,76,0,803,803,0,52,52,0,676,676,0,,,,"2,606","2,572",34,"1,111",850,261,"5,163","4,013","1,150",849,849,0,"11,619","11,249",370
탄자니아,576,576,0,"5,412","5,412",0,"1,136","1,136",0,"7,400","7,400",0,353,353,0,"1,798","1,798",0,229,229,0,"1,464","1,464",0,"32,990","32,484",506,"422,768","412,522","10,246"
태국,"31,453","30,907",546,"369,182","359,232","9,950","32,271","28,302","3,969","390,317","369,278","21,039","1,077","1,077",0,"9,950","9,916",34,764,764,0,"7,383","7,383",0,"1,021",197,824,"11,367","7,125","4,242"
토고,393,381,12,"5,294","3,238","2,056",567,567,0,"8,207","6,585","1,622","34,804","33,967",837,"404,676","383,716","20,960","35,357","35,046",311,"439,369","421,696","17,673",246,244,2,"2,738","2,394",344
통가,859,251,608,"4,002","1,625","2,377","1,277",210,"1,067","2,876","1,487","1,389",927,897,30,"11,333","9,654","1,679","1,021",941,80,"9,286","7,232","2,054",10,10,0,68,68,0
투발루,,,,,,,4,4,0,13,13,0,87,87,0,"2,871","1,755","1,116",199,119,80,"3,087","2,309",778,100,100,0,"1,753","1,753",0
튀니지,293,293,0,"3,166","3,166",0,222,222,0,"3,230","3,230",0,,,,10,10,0,6,6,0,56,56,0,"9,646","9,643",3,"160,894","144,766","16,129"
튀르키예,"16,749","16,595",154,"200,162","192,077","8,085","16,718","15,036","1,682","183,164","171,060","12,104",391,391,0,"3,239","3,110",129,220,220,0,"2,454","2,410",44,982,982,0,"11,335","11,335",0
트리니다드 토바고,590,590,0,"6,052","6,052",0,494,494,0,"9,257","9,247",10,"20,200","19,182","1,018","213,083","206,432","6,651","16,065","15,482",583,"209,226","196,526","12,700","10,980","9,507","1,473","162,826","108,400","54,426"
파나마,"14,686","5,520","9,166","113,590","67,378","46,212","8,026","4,444","3,582","150,321","76,050","74,271","1,048","1,045",3,"13,289","13,276",13,701,699,2,"8,695","8,670",25,124,124,0,"2,896","2,896",0
파라과이,81,81,0,961,961,0,106,106,0,"1,305","1,239",66,"13,419","10,355","3,064","129,358","91,581","37,777","10,325","8,495","1,830","153,097","92,913","60,184","5,413","4,536",878,"60,381","48,280","12,100"
파키스탄,"4,094","3,895",199,"60,008","43,984","16,024","4,118","3,045","1,073","48,560","38,511","10,049",440,440,0,"3,574","3,574",0,61,61,0,861,861,0,"1,124","1,019",105,"8,838","7,514","1,324"
파푸아 뉴기니,569,539,30,"6,619","6,430",189,687,687,0,"5,647","5,530",117,"2,916","2,779",137,"45,186","35,389","9,797","3,659","3,293",366,"48,195","43,805","4,390",36,22,14,373,344,29
팔라우,14,14,0,258,229,29,43,39,4,246,208,38,342,249,93,"5,596","4,968",628,540,433,107,"9,181","6,058","3,123",8,8,0,54,54,0
페로 제도,,,,4,4,0,,,,6,6,0,66,58,8,386,348,38,26,26,0,392,376,16,"20,278","18,037","2,241","251,160","214,283","36,877"
페루,"12,095","11,803",292,"140,218","135,127","5,091","10,179","9,628",551,"132,638","125,518","7,120",2,2,0,29,29,0,,,,42,42,0,576,576,0,"8,537","8,216",321
포르투갈,980,980,0,"7,484","7,478",6,559,559,0,"7,233","7,233",0,"11,028","10,309",719,"173,604","157,572","16,032","17,037","16,118",919,"178,215","164,697","13,518","2,880","2,822",58,"37,812","33,672","4,140"
폴란드,"2,119","2,111",8,"23,740","23,665",75,"2,417","2,386",31,"24,075","23,928",147,541,537,4,"9,301","9,256",45,670,670,0,"6,748","6,569",179,"1,213","1,211",2,"12,209","12,185",24
푸에르토리코,"1,213","1,213",0,"10,842","10,842",0,943,943,0,"10,916","10,908",8,"2,799","2,778",21,"32,883","32,643",240,"2,540","2,083",457,"29,187","27,831","1,356","4,476","4,385",91,"67,229","61,603","5,626"
프랑스,"6,912","6,668",244,"99,332","96,099","3,234","9,395","8,874",521,"94,603","90,561","4,042","1,288","1,288",0,"12,175","12,157",18,903,903,0,"9,137","9,128",9,1,1,0,99,99,0
프랑스령 기아나,10,10,0,77,77,0,26,26,0,254,254,0,"6,996","6,298",698,"92,144","82,816","9,328","7,524","7,316",208,"86,734","82,863","3,871","1,150",333,817,"7,229","2,006","5,223"
프랑스령 폴리네시아,344,309,35,"4,555","1,882","2,673","1,129",357,772,"7,535","3,149","4,386",22,22,0,281,281,0,29,29,0,309,309,0,990,886,104,"10,108","9,356",752
피지,557,557,0,"7,929","7,114",815,619,521,98,"10,156","8,520","1,636",267,76,191,"5,678","1,314","4,364",314,99,215,"6,086","1,110","4,976","2,014","2,013",1,"25,635","25,608",27
핀란드,"2,829","2,829",0,"31,003","30,696",307,"2,016","2,016",0,"27,116","27,047",69,356,254,102,"6,024","4,100","1,924",667,539,128,"8,892","7,814","1,078","23,046","18,270","4,776","286,952","220,638","66,315"
필리핀,"17,691","15,996","1,694","240,667","210,221","30,445","28,303","18,140","10,163","246,700","198,655","48,045","1,712","1,706",6,"22,335","22,263",72,"2,283","2,282",1,"22,620","22,549",71,2,2,0,37,37,0
헝가리,4,4,0,142,142,0,,,,19,19,0,"28,434","15,394","13,040","306,398","196,338","110,060","25,493","19,182","6,311","315,266","232,824","82,442","35,940","22,907","13,033","369,478","259,885","109,593"
호주,"23,777","18,004","5,773","327,037","236,945","90,092","21,802","16,063","5,739","302,414","229,864","72,550",2,2,0,3,3,0,5,5,0,114,114,0,"10,689","9,880",809,"127,445","121,022","6,423"
홍콩,"18,290","15,823","2,467","230,419","212,046","18,373","14,298","11,940","2,358","179,627","165,762","13,865","22,346","15,436","6,910","304,299","224,878","79,421","29,615","19,757","9,858","350,212","238,861","111,351",,,,,,
,,,,,,,,,,,,,"12,079","11,263",816,"150,496","136,200","14,296","12,706","11,604","1,102","129,929","120,863","9,067",,,,,,
