,2021,,,,,,2022,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,
국가명,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공
합계,"1,864,930","1,602,184","262,747","22,706,124","19,545,081","3,161,043","1,740,410","1,437,904","302,506","22,076,785","18,706,088","3,370,697","1,916,583","1,588,144","328,439","23,152,998","19,255,132","3,897,866","2,067,420","1,750,963","316,457","24,402,020","20,343,929","4,058,092","2,086,549","1,720,674","365,875","24,882,345","20,414,363","4,467,982"
러시아,"64,036","52,724","11,312","834,614","723,577","111,037","48,188","42,769","5,419","634,807","530,494","104,313",,,,1,1,0,,,,,,,"1,139","1,134",5,"13,773","13,680",93
레바논,264,264,0,"5,444","5,274",170,266,266,0,"5,476","3,952","1,524",48,48,0,571,571,0,36,36,0,437,437,0,"41,647","33,715","7,932","399,159","308,174","90,985"
레위니옹,15,15,0,179,177,2,25,25,0,340,340,0,671,671,0,"12,029","12,029",0,707,707,0,"11,939","11,933",6,491,491,0,"8,164","8,066",98
루마니아,"1,230","1,103",127,"18,615","15,118","3,497","1,290","1,290",0,"19,632","17,614","2,018","41,780","32,486","9,294","556,144","456,967","99,177","35,401","26,366","9,035","467,828","363,449","104,379",28,28,0,273,273,0
리비아,374,374,0,"3,449","3,449",0,233,233,0,"5,069","4,801",268,253,253,0,"2,027","1,992",35,488,488,0,"4,035","4,035",0,772,772,0,"9,726","9,689",37
리투아니아,309,309,0,"7,830","7,020",810,892,892,0,"4,540","4,540",0,8,8,0,246,246,0,8,8,0,293,289,4,383,383,0,"6,583","6,580",3
마다가스카르,93,93,0,679,679,0,81,81,0,"1,046","1,046",0,"1,191","1,191",0,"14,189","14,137",52,811,811,0,"18,632","18,620",12,196,196,0,"4,651","4,642",9
마르티니크,8,8,0,210,210,0,29,29,0,491,491,0,740,740,0,"4,937","4,937",0,258,258,0,"4,698","4,697",1,177,177,0,"1,677","1,677",0
마샬 제도,640,112,528,"7,041","1,916","5,125",424,79,345,"6,059","1,164","4,895",599,599,0,"7,268","7,250",18,455,455,0,"5,286","5,284",2,12,12,0,"1,275",562,713
마요트,5,5,0,83,83,0,1,1,0,23,23,0,100,100,0,"1,120","1,120",0,41,41,0,"1,347","1,347",0,569,132,437,"5,776","1,521","4,255"
