,,2024,,,,,,2025,,,,,,전년대비증감율(%),,,,,
,,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,
입출항구분,국가명,계,적,공,계,적,공,계,적,공,계,적,공,증감_계,증감_적,증감_공,증감_계,증감_적,증감_공
,라이베리아,1.0,1.0,0.0,14.0,14.0,0.0,,,,8.0,8.0,0.0,-100,-100,,-42.85714285714286,-42.85714285714286,
,라트비아,541.0,541.0,0.0,8130.0,8124.0,6.0,744.0,739.0,5.0,8826.0,8733.0,93.0,37.52310536044363,36.5988909426987,0,8.560885608856083,7.496307237813893,1450.0
,러시아,11271.0,2532.0,8739.0,130221.0,28219.0,102002.0,9486.0,1676.0,7810.0,111517.0,23705.0,87812.0,-15.837104072398189,-33.80726698262243,-10.630506922988904,-14.363274740633237,-15.996314539849033,-13.911491931530751
,레바논,87.0,87.0,0.0,861.0,861.0,0.0,73.0,73.0,0.0,805.0,727.0,78.0,-16.09195402298851,-16.09195402298851,,-6.504065040650408,-15.563298490127764,0
,레위니옹,,,,23.0,23.0,0.0,1.0,1.0,0.0,27.0,27.0,0.0,0,0,,17.391304347826097,17.391304347826097,
,루마니아,137.25,137.25,0.0,2680.25,2668.25,12.0,85.25,85.25,0.0,1488.5,1455.5,33.0,-37.88706739526412,-37.88706739526412,,-44.46413580822684,-45.45113838658297,175.0
,리비아,70.0,70.0,0.0,790.0,790.0,0.0,113.0,113.0,0.0,1267.0,1264.0,3.0,61.42857142857143,61.42857142857143,,60.37974683544305,60.00000000000001,0
,리투아니아,272.0,272.0,0.0,3354.5,3354.5,0.0,114.25,114.25,0.0,2795.5,2786.5,9.0,-57.99632352941176,-57.99632352941176,,-16.6641824414965,-16.93247875987479,0
,마다가스카르,7.0,7.0,0.0,410.0,410.0,0.0,41.0,41.0,0.0,482.0,482.0,0.0,485.71428571428567,485.71428571428567,,17.560975609756092,17.560975609756092,
,마르티니크,,,,4.0,4.0,0.0,,,,718.0,5.0,713.0,,,,17850.0,25.0,0
,마샬 제도,233.0,9.0,224.0,3075.0,46.0,3029.0,438.0,1.0,437.0,4258.0,43.0,4215.0,87.98283261802575,-88.88888888888889,95.08928571428572,38.47154471544716,-6.521739130434778,39.15483657972929
,마요트,,,,1.0,1.0,0.0,,,,6.0,6.0,0.0,,,,500.0,500.0,
,마카오,,,,2.0,2.0,0.0,,,,,,,,,,-100,-100,
