year,month,country,flow,total_teu,laden_teu,empty_teu,cumulative_total_teu,cumulative_laden_teu,cumulative_empty_teu,source_file
2024,1,가나,입항,643.0,7.0,636.0,643.0,7.0,636.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,감비아,입항,16.0,16.0,0.0,16.0,16.0,0.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,과테말라,입항,284.0,268.0,16.0,284.0,268.0,16.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,괌,입항,1498.25,39.0,1459.25,1498.25,39.0,1459.25,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,그리스,입항,303.0,243.0,60.0,303.0,243.0,60.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,기니,입항,34.0,34.0,0.0,34.0,34.0,0.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,나미비아,입항,4.0,4.0,0.0,4.0,4.0,0.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,나이지리아,입항,157.0,117.0,40.0,157.0,117.0,40.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,남아프리카,입항,601.0,601.0,0.0,601.0,601.0,0.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,네덜란드,입항,5418.75,4525.75,893.0,5418.75,4525.75,893.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,노르웨이,입항,630.0,625.0,5.0,630.0,625.0,5.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,뉴질랜드,입항,2941.0,2034.0,907.0,2941.0,2034.0,907.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,뉴칼레도니아,입항,86.0,15.0,71.0,86.0,15.0,71.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,니카라과,입항,8.0,8.0,0.0,8.0,8.0,0.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,대만,입항,9008.0,3667.0,5341.0,9008.0,3667.0,5341.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,대한민국,입항,6385.0,0.0,6385.0,6385.0,0.0,6385.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,덴마크,입항,699.0,679.0,20.0,699.0,679.0,20.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,도미니카 공화국,입항,564.0,180.0,384.0,564.0,180.0,384.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,독일,입항,5314.75,5031.75,283.0,5314.75,5031.75,283.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,라이베리아,입항,1.0,1.0,0.0,1.0,1.0,0.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,라트비아,입항,352.0,352.0,0.0,352.0,352.0,0.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,러시아,입항,8529.0,2640.0,5889.0,8529.0,2640.0,5889.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,레바논,입항,38.0,38.0,0.0,38.0,38.0,0.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,레위니옹,입항,3.0,3.0,0.0,3.0,3.0,0.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,루마니아,입항,176.5,176.5,0.0,176.5,176.5,0.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,리비아,입항,54.0,54.0,0.0,54.0,54.0,0.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,리투아니아,입항,169.0,169.0,0.0,169.0,169.0,0.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,마다가스카르,입항,45.0,45.0,0.0,45.0,45.0,0.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
2024,1,마르티니크,입항,1.0,1.0,0.0,1.0,1.0,0.0,컨테이너+국가별+전년대비+추이_20260922231620.xlsx
