year,month,country,flow,total_teu,laden_teu,empty_teu,cumulative_total_teu,cumulative_laden_teu,cumulative_empty_teu,source_file
2020,1,가나,입항,24.0,24.0,0.0,24.0,24.0,0.0,2020_2021 1월.xlsx
2020,1,가이아나,입항,24.0,24.0,0.0,24.0,24.0,0.0,2020_2021 1월.xlsx
2020,1,감비아,입항,11.0,11.0,0.0,11.0,11.0,0.0,2020_2021 1월.xlsx
2020,1,과테말라,입항,430.0,265.0,165.0,430.0,265.0,165.0,2020_2021 1월.xlsx
2020,1,괌,입항,841.25,27.0,814.25,841.25,27.0,814.25,2020_2021 1월.xlsx
2020,1,그리스,입항,1156.0,353.0,803.0,1156.0,353.0,803.0,2020_2021 1월.xlsx
2020,1,기니,입항,68.0,68.0,0.0,68.0,68.0,0.0,2020_2021 1월.xlsx
2020,1,기니비사우,입항,4.0,4.0,0.0,4.0,4.0,0.0,2020_2021 1월.xlsx
2020,1,나미비아,입항,10.0,10.0,0.0,10.0,10.0,0.0,2020_2021 1월.xlsx
2020,1,나이지리아,입항,99.0,99.0,0.0,99.0,99.0,0.0,2020_2021 1월.xlsx
2020,1,남아프리카,입항,483.0,482.0,1.0,483.0,482.0,1.0,2020_2021 1월.xlsx
2020,1,네덜란드,입항,5094.0,4965.0,129.0,5094.0,4965.0,129.0,2020_2021 1월.xlsx
2020,1,노르웨이,입항,596.0,588.0,8.0,596.0,588.0,8.0,2020_2021 1월.xlsx
2020,1,뉴질랜드,입항,2068.0,1773.0,295.0,2068.0,1773.0,295.0,2020_2021 1월.xlsx
2020,1,뉴칼레도니아,입항,141.0,9.0,132.0,141.0,9.0,132.0,2020_2021 1월.xlsx
2020,1,니카라과,입항,110.0,107.0,3.0,110.0,107.0,3.0,2020_2021 1월.xlsx
2020,1,대만,입항,5715.25,4333.25,1382.0,5715.25,4333.25,1382.0,2020_2021 1월.xlsx
2020,1,대한민국,입항,4113.0,0.0,4113.0,4113.0,0.0,4113.0,2020_2021 1월.xlsx
2020,1,덴마크,입항,1151.0,1151.0,0.0,1151.0,1151.0,0.0,2020_2021 1월.xlsx
2020,1,도미니카 공화국,입항,184.0,180.0,4.0,184.0,180.0,4.0,2020_2021 1월.xlsx
2020,1,독일,입항,8093.0,6723.0,1370.0,8093.0,6723.0,1370.0,2020_2021 1월.xlsx
